年龄,年收入,贷款金额,信用评分,工作年限,负债率,有房产,有车,违约
36,30000,13852,644,6,0.36,0,0,0
33,30000,7482,383,6,0.46,0,0,0
27,30000,14265,669,4,0.7,0,0,1
22,30000,20542,625,7,0.1,0,1,0
46,30000,15931,571,2,0.52,1,1,0
38,30000,16309,675,0,0.1,1,0,0
25,30000,14361,743,4,0.59,1,1,0
25,30000,22472,611,1,0.42,0,1,0
34,30000,22569,574,2,0.66,0,1,1
54,30000,13767,663,0,0.61,0,0,0
35,30000,9420,543,2,0.05,0,1,0
22,30000,12651,597,8,0.1,1,0,0
35,30000,6917,747,3,0.42,0,1,0
35,30000,16363,654,0,0.36,1,1,0
22,30000,13501,499,3,0.12,1,0,0
37,30000,5169,506,1,0.09,0,1,0
35,30000,7150,662,3,0.39,1,0,0
44,30000,13072,718,2,0.03,0,0,0
56,30000,21639,520,13,0.61,1,0,1
49,30000,14894,685,0,0.56,1,1,0
35,30000,17312,756,5,0.55,0,1,0
26,30000,10119,801,9,0.01,0,0,0
63,30000,14999,676,16,0.03,1,0,0
38,30000,12394,690,0,0.38,0,0,0
38,30000,16841,479,3,0.7,1,1,0
37,30000,5000,817,0,0.24,0,1,0
39,30000,13359,603,3,0.24,1,1,0
36,30000,9215,575,0,0.09,1,1,0
32,30000,9849,629,9,0.47,1,1,0
32,30000,23179,770,0,0.45,0,0,0
37,30000,6836,826,3,0.07,0,0,0
32,30000,9536,660,3,0.33,0,1,0
30,30000,13707,729,17,0.47,1,1,0
39,30000,21123,653,5,0.35,0,1,0
35,30000,11750,566,1,0.47,0,0,1
53,30000,18621,768,1,0.57,1,0,0
22,30000,20983,600,0,0.48,0,1,0
48,30000,9510,772,7,0.43,1,1,0
50,30000,11247,753,5,0.6,1,1,0
22,30000,10487,699,4,0.63,1,0,0
34,30000,20489,796,0,0.27,0,1,0
34,30000,5000,828,7,0.12,0,1,0
23,30000,9476,635,5,0.57,1,0,0
30,30000,17267,585,16,0.15,0,0,0
26,30000,14874,500,4,0.65,1,1,1
55,30000,12162,829,1,0.02,1,1,0
47,30000,14338,614,2,0.64,0,1,1
50,30000,7149,740,0,0.41,1,1,0
45,30000,12045,590,6,0.54,1,0,0
26,30000,13535,773,6,0.28,1,0,0
32,30000,21924,593,1,0.69,1,1,1
42,30000,8477,554,0,0.16,1,1,0
25,30000,21224,633,0,0.19,0,1,0
45,30000,16529,607,12,0.04,1,0,0
35,30000,5000,697,1,0.66,0,0,0
34,30000,18217,645,2,0.32,1,0,0
45,30000,5000,700,1,0.47,0,0,0
42,30000,23945,626,2,0.48,0,1,0
34,30000,21325,596,6,0.61,0,1,1
49,30000,9244,603,10,0.47,0,0,1
27,30000,8405,813,1,0.39,0,1,0
44,30000,11010,668,5,0.5,1,1,0
43,30000,10479,491,2,0.53,0,0,1
34,30000,10819,608,19,0.13,1,1,0
41,30000,9683,657,1,0.08,0,0,0
25,30000,16043,797,0,0.05,0,1,0
47,30000,6449,732,3,0.26,0,0,0
36,30000,20765,576,0,0.35,0,0,0
32,30000,20060,843,0,0.43,0,1,0
48,30000,13006,647,5,0.67,1,0,0
30,30000,20907,749,6,0.23,0,0,0
23,30000,8190,557,3,0.53,1,0,0
22,30000,5000,458,5,0.37,0,1,0
44,30000,16003,537,3,0.15,1,1,0
25,30000,12616,389,4,0.43,0,0,0
55,30000,14910,818,4,0.68,1,0,0
22,30000,21886,667,5,0.09,0,1,0
54,30000,23368,576,1,0.36,0,0,0
40,30000,16323,686,1,0.04,1,1,0
37,30000,19045,665,2,0.22,1,0,0
32,30000,5000,699,2,0.43,0,1,0
41,30000,6375,746,7,0.59,0,1,0
37,30000,18397,626,2,0.51,1,0,0
49,30000,12058,579,0,0.32,0,1,0
39,30000,12365,716,1,0.64,0,1,0
39,30000,9480,714,1,0.21,1,0,0
34,30000,15754,658,6,0.53,1,0,0
37,30000,6888,824,3,0.33,0,0,0
41,30000,16165,614,6,0.63,1,1,0
22,30000,6649,578,2,0.56,0,0,0
24,30000,5000,683,11,0.63,0,1,1
45,30000,9937,596,20,0.15,0,1,0
39,30000,7853,689,5,0.47,1,1,0
36,30000,21668,583,9,0.52,0,1,0
38,30000,5000,617,3,0.52,0,1,0
41,30000,6708,801,13,0.35,1,1,0
32,30000,14523,617,8,0.01,0,1,0
30,30000,13102,586,24,0.18,1,0,0
39,30000,5000,743,4,0.23,1,0,0
28,30000,5000,565,7,0.6,1,0,0
42,30000,23749,594,3,0.59,0,1,1
22,30000,16835,696,1,0.07,1,0,0
48,30000,10673,725,2,0.66,1,0,1
42,30000,12879,747,11,0.13,0,1,0
40,30000,8597,590,0,0.29,0,1,0
47,30000,10242,697,4,0.15,0,1,0
54,30000,16629,612,2,0.6,0,1,1
48,30000,21539,601,2,0.52,1,0,0
22,30000,6866,746,10,0.25,1,1,0
25,30000,20647,606,9,0.48,0,1,1
31,30000,5552,672,4,0.13,1,1,0
38,30000,7514,662,1,0.27,0,1,0
43,30000,5000,564,3,0.26,1,0,0
30,30000,5957,727,2,0.17,0,0,0
39,30000,22263,694,2,0.61,0,1,1
30,30000,12648,491,0,0.48,0,0,1
31,30000,5000,672,3,0.2,1,0,0
23,30000,23154,588,1,0.17,0,1,0
28,30000,21458,737,5,0.01,0,0,0
24,30000,18848,534,1,0.24,1,1,0
28,30000,22602,621,2,0.37,1,0,0
48,30000,7622,678,0,0.19,1,0,0
28,30000,20563,654,24,0.49,1,1,0
64,30000,17489,711,3,0.29,1,0,0
42,30000,21264,528,0,0.22,1,1,0
39,30000,19735,782,3,0.66,1,1,0
29,30000,10276,692,10,0.18,1,1,0
45,30000,19262,758,7,0.28,1,0,0
32,30000,8511,719,6,0.27,0,1,0
39,30000,9900,649,0,0.17,0,0,0
63,30000,5266,547,5,0.15,0,1,0
37,30000,22636,604,7,0.21,1,0,0
49,30000,9111,777,4,0.6,1,0,0
30,30000,13933,760,11,0.54,1,1,0
37,30000,11217,600,1,0.48,1,1,0
55,30000,23158,424,1,0.32,0,1,0
31,30000,10036,632,10,0.36,1,1,0
56,30000,19349,626,4,0.19,0,0,0
45,30000,20963,630,0,0.05,0,0,0
32,30000,12147,692,2,0.23,1,1,0
44,30000,10941,720,9,0.35,1,0,0
47,30000,18702,729,0,0.04,1,0,0
44,30000,22170,685,0,0.06,0,1,0
22,30000,18853,505,1,0.18,1,0,0
30,30000,7769,622,12,0.26,0,1,0
35,30000,21654,834,11,0.28,1,1,0
37,30000,11139,679,3,0.08,0,1,0
44,30000,15100,679,4,0.16,1,0,0
39,30000,20460,678,2,0.18,0,0,0
24,30000,6956,683,1,0.05,0,1,0
41,30000,19474,459,8,0.23,1,0,0
44,30000,15519,630,0,0.05,1,1,0
43,30000,21760,646,3,0.49,1,1,0
48,30000,6611,752,5,0.27,1,1,0
46,30000,11834,653,0,0.23,1,1,0
42,30000,20489,518,3,0.09,1,0,0
37,30000,5000,684,4,0.16,0,1,0
22,30000,5356,585,6,0.16,0,0,0
42,30000,23801,552,1,0.69,1,1,0
40,30000,8888,583,1,0.58,0,0,1
40,30000,23486,693,4,0.01,0,1,0
25,30000,6833,750,20,0.43,0,1,0
27,30000,10582,688,1,0.18,0,0,0
48,30000,18810,700,21,0.07,1,1,0
37,31230,17502,687,6,0.49,0,0,1
44,30000,15203,658,8,0.09,0,0,0
38,30000,14127,705,0,0.31,1,0,0
38,30000,20712,456,1,0.44,1,1,0
47,30000,7933,658,0,0.39,1,0,0
32,30000,12291,566,2,0.68,0,1,1
38,30000,6264,743,19,0.55,0,0,0
33,30000,15514,638,0,0.54,0,1,0
33,30000,8261,652,4,0.25,0,1,0
34,30000,10010,529,0,0.01,0,1,0
40,30000,12896,731,6,0.51,1,0,0
33,30000,5000,700,1,0.7,1,1,0
50,30000,5000,694,0,0.28,1,0,0
29,30000,17404,584,2,0.69,1,0,1
36,30000,12008,588,7,0.1,1,1,0
33,30000,21160,667,0,0.21,1,0,0
52,30000,17588,594,1,0.12,1,0,0
39,30000,5000,684,0,0.33,1,0,0
48,30000,15950,477,17,0.56,0,0,0
23,30000,5000,610,4,0.24,0,0,0
40,30000,19399,793,6,0.63,1,1,0
46,30000,23821,685,5,0.38,0,0,0
38,30000,14155,663,0,0.33,1,1,0
48,30000,17338,808,4,0.55,1,1,0
32,30000,7983,463,0,0.07,1,1,0
52,30000,12189,584,2,0.54,0,1,0
60,30000,20978,617,4,0.17,0,1,0
34,30000,6515,718,4,0.2,0,1,0
33,30000,8576,720,0,0.42,1,0,0
52,30000,12354,580,0,0.63,0,1,1
53,30000,17957,729,8,0.4,1,1,0
32,30000,10893,617,6,0.45,1,1,0
33,30000,22482,746,0,0.54,1,0,0
35,30000,5000,567,0,0.18,1,1,0
24,30000,10786,640,11,0.58,1,1,0
28,30000,17888,610,7,0.29,0,1,0
27,30000,7745,734,27,0.12,1,1,0
30,30000,16784,608,1,0.25,0,1,0
37,30000,6448,646,3,0.17,0,1,0
40,30000,5000,690,1,0.16,0,0,0
53,30000,5541,693,4,0.2,1,1,0
28,30000,22529,720,0,0.13,0,0,0
47,30000,14586,666,0,0.47,1,1,0
35,30000,19723,616,0,0.41,1,0,0
37,30000,9985,622,5,0.45,1,0,0
44,30000,15445,652,3,0.24,0,0,0
26,30000,13393,669,4,0.54,1,1,0
41,30000,22860,638,10,0.09,1,1,0
39,30000,18699,651,6,0.4,0,0,0
42,30000,18341,528,3,0.19,1,1,0
40,30000,5000,703,20,0.37,0,1,0
62,30000,14543,664,3,0.23,1,1,0
31,30000,12806,730,0,0.55,1,1,0
32,30000,22484,650,24,0.62,0,0,0
31,30000,8404,510,0,0.52,0,0,0
32,30000,8666,621,3,0.12,1,0,0
31,30000,11638,634,1,0.19,0,1,0
49,30000,8110,709,3,0.64,0,0,0
52,30000,5712,484,4,0.31,1,1,0
32,30000,21005,653,1,0.66,1,0,0
29,30000,14723,691,4,0.27,1,0,0
42,30000,21088,597,7,0.67,1,1,1
32,30000,20453,655,1,0.65,0,1,1
44,30000,8922,599,2,0.46,1,0,0
40,30000,14502,591,1,0.01,1,1,0
22,30000,5000,617,8,0.28,0,1,0
53,30000,22220,593,6,0.64,1,1,1
55,30000,11489,704,10,0.62,1,0,0
31,30000,11267,591,0,0.13,0,0,0
34,30000,9357,577,0,0.28,1,1,0
40,30000,12673,791,0,0.58,1,1,0
41,30000,8286,726,0,0.4,0,1,0
44,30000,10871,501,3,0.59,1,1,1
58,30000,19798,588,17,0.58,1,1,0
36,30000,20519,669,2,0.64,1,0,1
30,30000,9387,675,15,0.08,0,0,0
24,30000,12849,530,0,0.1,0,0,0
30,30000,21350,742,13,0.06,0,1,0
37,30000,5000,716,0,0.65,1,1,0
55,30000,21672,688,12,0.33,1,1,0
32,30000,7602,758,0,0.05,0,1,0
40,30000,17249,686,14,0.23,0,1,0
37,30000,15233,685,1,0.25,0,0,0
49,30000,14611,774,1,0.57,1,0,0
63,30000,21046,738,3,0.51,1,1,0
32,30000,5133,582,2,0.48,0,1,1
33,30000,10287,700,5,0.02,0,1,0
48,30000,14303,596,18,0.64,0,0,1
44,30000,20037,690,4,0.15,0,1,0
56,30000,7545,688,6,0.44,1,1,0
43,30000,19861,539,0,0.04,0,0,0
34,30000,11392,640,4,0.06,0,1,0
43,30000,6967,671,3,0.01,1,0,0
49,30000,18938,615,10,0.4,1,1,0
46,30000,5000,675,2,0.44,1,1,0
43,30000,13810,714,5,0.04,1,0,0
48,30000,5000,647,1,0.2,1,1,0
49,30000,10484,667,1,0.6,1,0,0
51,30000,15622,760,2,0.07,1,0,0
44,30000,14678,687,1,0.15,1,1,0
36,30000,11497,666,1,0.3,1,1,0
39,30000,12010,573,0,0.59,0,0,1
50,30000,7762,703,9,0.18,0,0,0
29,30000,12573,676,0,0.7,0,1,1
41,30000,23018,752,10,0.25,1,0,0
34,30000,20859,653,0,0.27,1,0,0
38,30000,6049,504,0,0.09,1,0,0
50,30000,5000,513,4,0.48,0,1,0
39,30000,22604,708,3,0.17,0,1,0
38,30000,14061,604,3,0.44,1,0,0
24,30000,14294,684,4,0.16,0,1,0
45,30000,19395,659,1,0.27,0,0,0
44,30000,9608,636,5,0.6,1,1,0
59,30000,13120,642,3,0.52,0,0,1
34,30000,23341,580,2,0.11,0,0,0
40,30000,17115,648,8,0.43,0,1,0
40,30000,6228,603,6,0.44,0,0,1
53,30000,5797,620,2,0.06,1,0,0
37,30000,7289,624,9,0.33,0,1,0
40,30000,19100,631,12,0.18,0,1,0
44,30000,9202,723,3,0.33,0,0,0
39,30000,5000,639,1,0.54,1,1,0
33,30000,22827,731,12,0.11,0,1,0
39,30000,6563,773,1,0.09,0,1,0
48,30000,5000,718,0,0.19,0,1,0
27,30000,7979,692,1,0.67,0,1,1
39,30000,7935,676,6,0.52,0,1,0
30,30000,11862,719,12,0.01,1,0,0
49,30000,22328,657,5,0.28,1,1,0
22,30000,21462,728,15,0.18,1,1,0
32,30000,12594,699,0,0.45,1,0,0
41,30000,11628,621,0,0.32,0,0,0
53,30000,14655,721,4,0.68,1,0,0
37,30000,8112,657,16,0.15,0,0,0
32,30000,5000,641,3,0.41,1,0,0
56,30000,22723,611,0,0.49,0,0,1
23,30000,6920,663,1,0.58,1,0,1
22,30000,7166,729,1,0.28,1,1,0
42,30000,12921,721,2,0.48,0,1,0
32,30000,13323,678,0,0.21,0,0,0
27,30000,5000,697,11,0.3,1,1,0
45,30000,6107,751,3,0.63,0,1,1
40,30000,10941,638,5,0.66,1,1,0
32,30000,17358,560,0,0.5,0,1,1
25,30000,7796,754,0,0.26,0,0,0
46,30000,11883,607,4,0.57,1,1,0
44,30000,14704,594,10,0.02,0,1,0
37,30000,21660,506,3,0.07,0,0,0
56,30000,9847,695,10,0.46,1,0,0
27,30000,5804,520,8,0.2,1,1,0
22,30000,13274,589,0,0.67,1,0,1
31,30000,18681,697,1,0.31,1,1,0
37,30000,5307,707,5,0.3,0,1,0
40,30000,11918,597,2,0.47,0,1,1
35,30000,5000,639,1,0.54,0,0,0
41,30000,5000,580,2,0.33,1,1,0
25,30000,13142,606,2,0.15,0,0,0
52,30000,9262,671,12,0.54,0,0,1
37,30000,20747,609,0,0.22,1,1,0
49,30000,15645,630,1,0.12,1,0,0
41,30000,12532,532,3,0.44,1,1,0
42,30000,11566,740,5,0.06,0,1,0
43,30000,13442,690,4,0.68,1,0,0
42,30000,5000,713,14,0.44,0,1,0
44,30000,21748,753,7,0.69,1,1,0
51,30000,23964,583,4,0.24,0,1,0
39,30000,6811,621,1,0.68,0,1,1
45,30000,5528,498,2,0.1,0,1,0
37,30000,6015,850,5,0.03,0,1,0
52,30000,16881,638,9,0.02,1,1,0
31,30000,16890,733,16,0.33,1,1,0
56,30000,20806,550,4,0.06,1,1,0
37,30000,18788,729,3,0.36,0,1,0
23,30000,12443,798,0,0.23,1,0,0
39,30000,15869,645,0,0.23,0,0,0
31,30000,17453,569,0,0.44,0,1,0
46,30000,13767,638,0,0.11,0,0,0
31,30000,12988,471,2,0.54,0,1,1
33,30000,16547,646,2,0.41,0,1,0
22,30000,14706,715,5,0.64,0,0,1
33,30000,16522,647,3,0.26,1,1,0
22,30000,15869,627,4,0.69,1,0,1
22,30000,18103,692,3,0.4,0,1,0
45,30000,16498,698,1,0.68,0,0,1
45,30000,13914,517,15,0.02,0,1,0
42,30000,17317,657,0,0.51,0,1,1
28,30000,12439,844,13,0.57,0,1,0
37,30000,8075,543,1,0.04,0,0,0
37,30000,5000,643,3,0.41,1,1,0
26,30000,14759,805,0,0.56,1,0,0
53,30000,15403,738,0,0.39,0,0,0
46,30000,23413,608,2,0.04,1,1,0
35,30000,10591,666,6,0.49,1,0,0
38,30000,11276,649,1,0.04,0,1,0
40,30000,7237,590,4,0.57,0,1,1
22,30000,5000,644,1,0.03,1,1,0
35,30000,19228,627,2,0.1,1,1,0
31,30000,8243,659,11,0.19,0,0,0
27,30000,15787,590,9,0.44,1,1,0
35,30000,17443,547,3,0.68,0,1,1
55,30000,12895,646,1,0.08,1,1,0
44,30000,21403,787,1,0.1,0,1,0
32,30000,12319,656,15,0.26,0,1,0
43,30000,8983,623,1,0.59,1,1,1
51,30000,21816,710,8,0.33,1,1,0
47,30000,21092,637,2,0.23,0,1,0
38,30000,6444,799,21,0.39,0,1,0
31,30000,5000,649,2,0.18,0,1,0
44,30000,5000,706,2,0.28,0,0,0
41,30000,9017,589,5,0.23,0,1,0
46,30000,23417,690,16,0.56,1,0,0
44,30000,14728,672,18,0.65,0,1,0
48,30000,10838,645,6,0.53,1,1,0
32,30000,21663,609,7,0.31,1,1,0
51,30000,12515,598,4,0.35,0,1,0
39,30000,9620,672,7,0.09,1,1,0
58,30000,22765,700,9,0.52,1,0,0
31,30000,20839,639,3,0.42,0,0,1
55,30000,20717,672,4,0.63,1,1,0
39,30000,13757,646,3,0.14,1,1,0
31,30000,19578,657,4,0.53,1,0,0
33,30000,6766,633,11,0.48,0,1,1
34,30000,15037,651,2,0.19,1,0,0
42,30000,23660,850,1,0.47,0,1,0
43,30000,9110,674,3,0.65,1,0,0
32,30000,19681,701,1,0.64,1,1,0
37,30000,13300,685,3,0.5,1,0,0
59,30000,5000,628,11,0.03,0,0,0
55,30000,19023,753,4,0.61,0,1,0
42,30000,6539,626,9,0.46,0,1,1
38,30000,16260,734,0,0.22,1,1,0
39,30000,5000,623,11,0.13,0,1,0
44,30000,22884,573,4,0.08,0,1,0
27,30000,9126,679,0,0.04,0,1,0
35,30000,7755,561,5,0.53,1,1,0
22,30000,5711,692,15,0.17,0,1,0
41,30000,22866,554,0,0.02,1,0,0
44,30000,17949,624,4,0.28,1,0,0
33,30000,18574,535,12,0.34,1,1,0
53,30000,13487,850,0,0.12,0,1,0
25,30000,12969,517,4,0.03,0,0,0
23,30000,5310,650,3,0.13,0,0,0
40,30000,14756,741,2,0.48,0,0,1
48,30000,8185,732,4,0.06,1,1,0
54,30000,23520,718,0,0.39,0,0,0
33,30000,19728,624,6,0.1,0,1,0
48,30000,11672,758,0,0.14,1,1,0
37,30000,6178,723,1,0.28,0,1,0
36,30000,19491,666,3,0.07,0,0,0
46,30000,5563,669,2,0.12,0,1,0
44,30000,6976,625,1,0.24,1,1,0
22,30000,7441,577,8,0.23,1,0,0
52,30000,14694,748,13,0.52,1,1,0
51,30000,19528,754,10,0.05,0,1,0
31,30000,9600,579,3,0.6,0,1,1
41,30000,5000,637,10,0.57,1,0,0
42,30000,12755,638,12,0.54,1,0,0
40,30000,18710,647,2,0.22,1,1,0
32,30000,7654,655,1,0.58,1,1,0
31,30000,7618,725,0,0.13,0,1,0
37,30000,22891,590,3,0.09,1,0,0
49,30000,23037,582,14,0.03,1,0,0
43,30000,23799,748,4,0.66,1,1,0
34,30000,19960,612,5,0.22,1,1,0
45,30000,6951,548,0,0.64,0,1,1
22,30000,7451,611,0,0.19,1,1,0
49,30000,10144,623,3,0.64,1,0,0
22,30000,9680,774,15,0.63,0,1,0
34,30000,23087,723,2,0.65,0,0,1
26,30000,19570,741,10,0.35,1,1,0
25,30000,18204,715,0,0.61,0,1,1
49,30000,6905,725,4,0.67,1,1,0
33,30000,22100,594,4,0.23,0,1,0
41,30000,20385,634,9,0.29,1,0,0
37,30000,6436,570,0,0.5,0,0,1
42,30000,21294,633,1,0.21,0,1,0
38,30000,8717,704,1,0.53,1,1,0
25,30000,5000,660,14,0.05,1,1,0
47,30000,16793,754,0,0.37,0,1,0
33,30000,16729,558,0,0.09,0,1,0
22,30000,5000,690,3,0.21,1,0,0
33,30000,9695,550,3,0.18,1,0,0
53,30000,23849,657,9,0.59,1,0,0
46,30000,17246,709,14,0.14,1,1,0
34,30000,18331,632,3,0.57,0,1,1
34,30000,7471,694,13,0.56,1,0,1
34,30000,5000,573,6,0.35,1,1,0
58,30000,8814,516,1,0.16,1,0,0
41,30000,8226,694,13,0.16,1,0,0
42,30000,7925,789,5,0.33,1,1,0
48,30000,7047,570,2,0.01,1,1,0
40,30000,15069,747,5,0.37,1,1,0
35,30000,9890,653,2,0.67,1,1,0
36,30000,20227,543,0,0.11,1,0,0
37,30000,6862,559,6,0.4,1,1,0
37,30000,12757,651,8,0.67,1,1,0
45,30000,5000,617,6,0.6,0,1,1
38,30000,13115,544,1,0.6,0,0,1
45,30000,5000,514,15,0.58,1,0,0
37,30000,23532,582,0,0.22,1,0,0
38,30000,19602,665,2,0.62,0,0,1
22,30000,13292,649,1,0.66,0,1,1
47,30000,5000,609,0,0.35,0,0,0
41,30000,15441,666,2,0.25,0,1,0
47,30000,18934,733,4,0.29,0,1,0
22,30000,7005,681,10,0.23,1,1,0
58,30000,14932,640,22,0.15,1,0,0
36,30000,20098,724,8,0.43,1,1,0
49,30000,19133,573,3,0.39,0,0,1
27,30000,19862,632,6,0.32,1,0,0
44,30000,21465,633,9,0.07,1,0,0
27,30000,22691,551,3,0.56,0,1,1
31,30000,11515,616,7,0.12,0,0,0
57,30000,14944,484,3,0.08,1,1,0
36,30000,19603,802,2,0.44,1,0,0
40,30000,17639,575,3,0.28,1,1,0
46,30000,23905,776,5,0.04,0,1,0
42,30000,5000,653,6,0.25,1,1,0
39,30000,10457,695,2,0.54,0,0,0
41,30000,8901,610,4,0.43,1,1,0
62,30000,8508,666,12,0.25,1,1,0
37,30000,7673,702,18,0.13,0,0,0
40,30000,17891,703,1,0.44,0,1,0
48,30000,5000,711,1,0.62,0,1,1
49,30000,18573,620,5,0.45,0,1,0
49,30000,17561,611,2,0.57,0,1,1
44,30000,8266,522,0,0.37,1,0,0
26,30000,8309,691,2,0.5,1,0,0
54,30000,16206,736,8,0.63,1,1,0
26,30000,19005,779,7,0.54,1,0,0
41,30000,21406,674,3,0.64,1,1,0
30,30000,20894,588,3,0.3,1,1,0
37,30000,23262,514,4,0.63,0,1,1
41,30000,15209,733,1,0.44,1,1,0
41,30000,22081,506,3,0.61,0,1,1
42,30000,19978,622,0,0.03,0,0,0
54,30000,21788,632,3,0.46,1,0,0
42,30000,5000,644,2,0.59,0,1,0
35,30000,23283,652,5,0.12,1,1,0
47,30000,12944,661,5,0.46,0,1,0
49,30000,19761,456,2,0.58,0,1,1
25,30000,5671,651,0,0.2,1,1,0
43,30000,11314,471,1,0.28,0,1,0
45,30000,8700,708,5,0.4,0,0,0
35,30000,9124,605,0,0.36,0,1,0
51,30000,5588,477,0,0.03,1,1,0
36,30000,19921,584,5,0.07,0,1,0
39,30000,5000,604,7,0.07,1,0,0
36,30000,9562,745,1,0.18,1,1,0
38,30000,6662,665,3,0.17,1,1,0
27,30000,15369,677,14,0.52,1,0,0
23,30000,8339,744,14,0.4,0,1,0
53,30000,8438,642,1,0.53,1,1,0
29,30000,13255,710,8,0.05,1,1,0
28,30000,16706,704,4,0.34,0,1,0
22,30000,5547,547,18,0.23,0,0,0
31,30000,6685,767,3,0.59,1,1,0
24,30000,8190,536,7,0.5,1,0,0
54,30000,23448,723,7,0.61,1,1,0
48,30000,11340,528,3,0.03,1,0,0
31,30000,15578,698,7,0.5,1,0,0
60,30000,8072,798,1,0.38,0,0,0
47,30000,13299,632,0,0.58,0,0,0
34,30000,5000,629,2,0.36,1,1,0
22,30000,5000,698,14,0.38,0,1,0
60,30000,12843,623,3,0.04,0,1,0
24,30000,11371,795,5,0.47,1,0,0
22,30000,5874,665,4,0.19,0,1,0
48,30000,17439,624,0,0.01,0,1,0
62,30000,23850,606,2,0.05,1,1,0
51,30000,11308,575,6,0.67,1,1,1
43,30000,16115,599,17,0.24,0,0,0
43,30000,23222,621,0,0.61,1,0,0
46,30000,20462,610,2,0.67,1,1,0
45,30000,12734,597,0,0.66,0,1,1
40,30000,18487,817,1,0.62,0,1,1
39,30000,5690,567,2,0.63,0,0,1
37,30000,13754,661,3,0.2,1,1,0
30,30000,8860,697,1,0.11,1,1,0
35,30000,6384,700,1,0.45,1,1,0
22,30000,11951,645,7,0.34,1,1,0
37,30000,5751,630,16,0.07,0,0,0
28,30000,17678,686,1,0.47,0,0,1
26,30000,12581,671,5,0.39,0,1,0
39,30000,14154,629,1,0.6,0,1,1
51,30000,6073,525,13,0.43,1,0,0
47,30000,5935,612,5,0.4,1,0,0
22,30000,15251,558,8,0.31,0,1,0
28,30000,23685,596,0,0.32,0,0,0
47,30000,5021,652,4,0.67,0,1,1
28,30000,9000,678,3,0.1,1,1,0
35,30000,21258,792,1,0.31,1,1,0
43,30000,5000,607,1,0.46,1,1,0
28,30000,21393,711,4,0.3,0,0,0
39,30000,14010,674,6,0.2,0,1,0
24,30000,11573,753,0,0.2,0,0,0
31,30000,9503,696,4,0.16,1,1,0
41,30000,9239,569,0,0.24,1,1,0
22,30000,9421,512,0,0.61,1,0,1
42,30000,21580,674,4,0.35,1,0,0
37,30000,18199,607,1,0.17,1,0,0
43,30000,17064,571,2,0.27,0,1,0
40,30000,19773,548,2,0.07,0,0,0
51,30000,8399,662,5,0.63,1,1,0
39,30000,15978,770,3,0.29,0,1,0
33,30000,12661,617,16,0.69,0,1,1
39,30000,19431,697,2,0.24,1,1,0
43,30000,9494,641,6,0.59,1,0,0
38,30000,16506,546,1,0.18,1,1,0
38,30000,21526,708,3,0.05,0,0,0
30,30000,11445,562,4,0.02,0,0,0
31,30000,5000,651,1,0.42,1,1,0
23,30000,13837,622,3,0.22,1,1,0
55,30000,10265,721,1,0.31,1,0,0
25,30000,17116,565,0,0.57,1,1,0
31,30000,22971,681,1,0.17,1,0,0
30,30000,13197,582,6,0.22,0,1,0
46,30000,12789,609,7,0.59,0,1,1
35,30000,16746,359,1,0.34,0,1,0
50,30000,5173,817,2,0.58,1,1,0
31,30000,8323,694,0,0.26,0,1,0
40,30000,22298,588,1,0.28,1,1,0
29,30000,17068,560,7,0.12,1,1,0
59,30000,5000,610,4,0.64,0,1,1
26,30000,7297,707,1,0.63,1,0,0
41,30000,17339,498,1,0.69,1,0,1
44,30000,19052,638,8,0.28,1,0,0
42,30000,20637,791,1,0.57,1,1,0
36,30000,9135,559,2,0.29,0,0,0
36,30000,22551,656,5,0.32,0,0,0
38,30000,14611,826,4,0.58,0,0,1
36,30000,17627,700,3,0.12,1,1,0
47,30000,15531,660,11,0.15,1,1,0
60,30000,5577,690,1,0.22,1,1,0
32,30000,23225,617,6,0.55,0,0,1
24,30000,5580,753,0,0.26,1,1,0
37,30000,8352,618,4,0.25,1,1,0
63,30000,20086,493,10,0.7,1,1,1
29,30000,15990,618,3,0.27,0,1,0
54,30000,20601,572,6,0.17,1,1,0
54,30000,13830,627,8,0.44,0,1,1
32,30000,10916,629,0,0.56,0,1,1
43,30000,22358,745,6,0.05,0,1,0
54,30000,5000,705,12,0.43,0,0,0
34,30000,20978,671,4,0.03,1,0,0
35,30000,7847,649,1,0.37,0,1,0
32,30000,20823,565,0,0.18,1,1,0
27,30000,5923,475,1,0.21,0,1,0
31,30000,15184,659,0,0.33,0,1,0
25,30000,21650,713,3,0.65,0,1,1
38,30000,12944,641,0,0.5,0,0,0
30,30000,18677,607,1,0.66,0,0,1
40,30000,19898,687,2,0.46,1,1,0
22,30000,18466,643,3,0.0,1,1,0
41,30000,22431,784,4,0.19,0,1,0
46,30000,12383,748,6,0.63,0,1,1
22,30000,6635,726,0,0.45,0,1,0
41,30000,5000,710,0,0.69,1,1,0
50,30000,8175,546,0,0.11,1,0,0
25,30000,6007,703,2,0.21,1,1,0
54,30000,14716,680,0,0.25,0,0,0
42,30000,6883,698,6,0.23,0,1,0
30,30000,5000,689,1,0.18,0,1,0
37,30000,5000,686,14,0.31,1,1,0
43,30000,20462,850,3,0.45,0,1,0
38,30000,15420,643,2,0.22,1,1,0
43,30000,10519,724,7,0.06,1,1,0
28,30000,21778,612,6,0.5,1,0,0
39,30000,5000,713,4,0.32,0,1,0
23,30000,23586,725,13,0.39,1,0,0
